Product/Company,Product/Company URL,Date/Source,Environmental Claims/Allegations,Year,channel,quote,claim_type,sub_category,plaintiff_law_firm,defendant_type,industry_sector,claim_location,certification_misuse,state_law_cited,relief_sought,jurisdiction,current_status,settlement_amount,ruling_date,ruling_pdf_url,ruling_description,case_name,court,docket_number,key_dates,summary,sources,verified_independently,confidence,research_error
V8 Plus Energy Drinks,https://truthinadvertising.org/class-action/v8-plus-energy-drinks/,Sept. 2025/class action,Plant-based,2025,packaging,Naturally Flavored; Plant Based Energy Drink,ingredients sourcing,synthetic ingredients,Gucovschii Rozenshteyn LLC,corporation,food & beverage,front of pack,none,California CLRA,damages; restitution; attorney fees; injunction,"U.S. District Court, Central District of California",pending,,,https://casefilingsalert.com/wp-content/uploads/2025/09/Campbell-Soup-Co.pdf,Case recently filed with original complaint available - no major rulings yet,Jeremy Reich v. Campbell Soup Company,U.S. District Court for the Central District of California,2:25-cv-08501,"Filed: September 8, 2025; Last Known Filing: October 6, 2025","This is a recently filed class action lawsuit alleging Campbell Soup falsely markets V8 Energy Plus drinks as 'naturally flavored' and 'plant-based' despite containing synthetic additives like sucralose, niacin, and cyanocobalamin. The case is still in early stages with no major court rulings yet.",https://www.law.com/radar/card/pm-60048114-reich-v-campbell-soup-company/ | https://www.courtlistener.com/docket/71297469/reich-v-campbell-soup-company/ | https://topclassactions.com/lawsuit-settlements/lawsuit-news/campbell-soup-faces-class-action-for-misleading-natural-labeling-on-v8-energy-products/ | https://dockets.justia.com/docket/california/cacdce/2:2025cv08501/986212 | https://casefilingsalert.com/wp-content/uploads/2025/09/Campbell-Soup-Co.pdf,TRUE,high,
Almay Makeup Remover Towelettes and Pads,https://truthinadvertising.org/class-action/almay-makeup-remover-towelettes-and-pads/,July 2025/class action,Biodegradable,2025,packaging,biodegradable; 100% biodegradable fibers,other,biodegradable,"Treehouse Law, LLP",LLC,cosmetics & personal care,front of pack,none,California UCL; California FAL; California CLRA,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",pending,,,,No major court rulings have been issued yet. Case is in early litigation stages.,Savage v. Revlon Consumer Products LLC,U.S. District Court for the Central District of California,8:25-cv-01672,"Filed: July 30, 2025","Robin Victoria Savage filed a class action lawsuit against Revlon Consumer Products LLC on July 30, 2025, alleging that Almay makeup remover towelettes and pads are falsely marketed as '100% biodegradable' when they do not decompose within a reasonable timeframe under typical disposal conditions. The case is still in early litigation stages with no major court rulings to date.",https://truthinadvertising.org/class-action/almay-makeup-remover-towelettes-and-pads/ | https://www.classaction.org/news/class-action-lawsuit-claims-revlon-makeup-remover-pads-towelettes-falsely-advertised-as-biodegradable | https://www.globalcosmeticsnews.com/revlon-faces-class-action-over-alleged-false-biodegradable-claims-on-almay-wipes/ | https://topclassactions.com/lawsuit-settlements/lawsuit-news/revlon-class-action-lawsuit-claims-almay-makeup-wipes-falsely-advertised-as-biodegradable/ | https://dockets.justia.com/docket/california/cacdce/8:2025cv01672/981324,TRUE,medium,
Banana Boat sunscreens,https://truthinadvertising.org/wp-content/uploads/2021/09/Condreay-v-Edgewell-complaint.pdf,Sept./class action,Reef friendly,2021,packaging,Reef Friendly,ingredients sourcing,Marine,"Faruqi & Faruqi, LLP & Clarkson Law Firm, P.C.",LLC,cosmetics & personal care,front of pack,none,California UCL; California FAL; California CLRA,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",pending,,,https://files.santaclaracounty.gov/exjcpb1551/2025-03/edgewell-complaint-file-stamped.pdf?VersionId=lWnSKTp1J2yBpre8dwgNSYhBEXanbnb_,"The original 2021 class action lawsuit by Mary Condreay was voluntarily dismissed. However, there is now a new, active consumer protection lawsuit filed by the Santa Clara County District Attorney's Office on March 24, 2025, seeking civil penalties and court orders against Edgewell Personal Care for false 'reef friendly' advertising claims.","People of the State of California v. Edgewell Personal Care, LLC","Santa Clara County Superior Court, California",25-cv-461660,"Original class action filed September 2021 by Mary Condreay, voluntarily dismissed October 2021; New DA lawsuit filed March 24, 2025; Complex civil litigation hearing scheduled for late July 2025","The original 2021 class action lawsuit alleging Banana Boat sunscreens were falsely marketed as 'reef friendly' was voluntarily dismissed. However, the Santa Clara County District Attorney has now filed a new consumer protection lawsuit in March 2025 against Edgewell Personal Care, seeking civil penalties and injunctive relief for the same false advertising claims. This represents an escalation from private class action litigation to government enforcement action.",https://truthinadvertising.org/class-action/banana-boat-reef-friendly-sunscreens/ | https://da.santaclaracounty.gov/district-attorney-sues-maker-banana-boat-and-hawaiian-tropic-over-reef-friendly-advertising-claim | https://files.santaclaracounty.gov/exjcpb1551/2025-03/edgewell-complaint-file-stamped.pdf?VersionId=lWnSKTp1J2yBpre8dwgNSYhBEXanbnb_ | https://www.sfgate.com/centralcoast/article/bay-area-da-exposes-sunscreen-industry-s-dirty-20390478.php | https://topclassactions.com/lawsuit-settlements/consumer-products/beauty-products/banana-boat-reef-friendly-sunscreens-toxic-to-coral-reefs-marine-life-says-class-action/ | https://legalnewsline.com/stories/607394735-reef-friendly-banana-boat-sunscreens-can-actually-harm-ocean-lawsuit-says | https://www.mercurynews.com/2025/03/26/santa-clara-county-da-sues-sunscreen-maker-over-reef-friendly-claim/,TRUE,high,
Starbucks Decaffeinated Coffees,https://truthinadvertising.org/class-action/starbucks-decaffeinated-coffees/,May 2025/class action,Uses sustainable practices and is working to reduce its carbon footprint,2025,other channel,Committed to 100% Ethical Coffee Sourcing in partnership with . . . Conservation International; Safe and Effective; 100% arabica coffee,ingredients sourcing,coffee,Richman Law & Policy,corporation,food & beverage,multiple locations,C.A.F.E. Practices,New York GBL 349,damages;injunction;restitution;attorney fees,"U.S. District Court, Southern District of New York",pending,,,,"No major court rulings have been issued yet. The case was filed recently on January 13, 2026, and appears to be in early stages with no motions to dismiss or other significant court orders identified.","Williams, et al. v. Starbucks Corp.",U.S. District Court for the Western District of Washington,2:26-cv-00112,"Filed: January 13, 2026. Judge assigned: Hon. Michelle L. Peterson","This is a recently filed class action lawsuit alleging Starbucks misleads consumers about ethical sourcing and fails to disclose volatile organic compounds (VOCs) including benzene, toluene, and methylene chloride in decaffeinated coffee. The case combines greenwashing claims about '100% Ethical Coffee Sourcing' with allegations about undisclosed industrial solvents in decaf products.",https://duediligence.design/starbucks-accused-of-greenwashing-and-misleading-claims-on-human-rights-and-product-safety/ | https://topclassactions.com/lawsuit-settlements/lawsuit-news/starbucks-class-action-alleges-coffee-not-ethically-sourced-and-contains-industrial-solvents/ | https://dailycoffeenews.com/2026/01/15/lawsuit-accuses-starbucks-of-misleading-buyers-on-sustainability-and-chemical-content/ | https://www.hbsslaw.com/cases/starbucks-consumer-class-action | https://www.law.com/radar/card/pm-62454640-jennifer-williams-v-starbucks-corporation,TRUE,high,
Igloo,https://truthinadvertising.org/class-action/igloo-products/,May 2025/class action,Biodegradable,2025,packaging,BIODEGRADABLE; Made with BIODEGRADABLE materials; Made in the USA,other,biodegradable,"Law Offices of Robert L. Kraselnik, PLLC",corporation,household goods,front of pack,none,New York GBL 349,damages; injunction; restitution; attorney fees,"U.S. District Court, Eastern District of New York",pending,,,,,Strauss v. Igloo Products Corp.,U.S. District Court for the Eastern District of New York,1:2025cv02764,"Filed: May 16, 2025","A greenwashing class action lawsuit was filed against Igloo Products Corp. on May 16, 2025, alleging false biodegradable and environmental claims. The case appears to be in its early stages with no major rulings or motions filed yet.",https://dockets.justia.com/browse/state-new_york/noscat-4 | https://www.law360.com/firms/law-offices-of-robert-l-kraselnik/attorneys/robert-l-kraselnik/cases | https://members.asicentral.com/news/industry-news/february-2025/consumer-sues-igloo-alleging-false-eco-made-in-usa-claims/ | https://www.classaction.org/news/igloo-cooler-class-action-lawsuit-challenges-environmental-made-in-usa-claims | https://truthinadvertising.org/articles/by-the-numbers-greenwashing-class-action-lawsuits/,TRUE,medium,
Vuse Vape Devices,https://truthinadvertising.org/class-action/vuse-vape-devices/,May 2025/class action,Carbon Neutral,2025,other channel,carbon neutral; world-first achievement is a significant contribution to BAT's ambitious climate targets; Vuse has become the first global carbon neutral vape brand; first global carbon neutral vape brand; first-ever carbon neutral vapor brand,carbon credits,,Schubert Jonckheer & Kolbe LLP,multiple entities,other,multiple locations,none,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",pending,,20/06/2025,,"Court granted extension deadline to respond to complaint to September 16, 2025. Initial Case Management Conference set for August 28, 2025.","Bell, et al. v. R.J. Reynolds Vapor Company, et al.",U.S. District Court for the Northern District of California,3:25-cv-04521,"Filed: May 28, 2025; Response deadline extended to September 16, 2025; Case Management Conference: August 28, 2025","A class action lawsuit filed in May 2025 alleges that British American Tobacco and R.J. Reynolds falsely marketed Vuse vape products as 'carbon neutral' using ineffective offset projects. The defendants received an extension to respond to the complaint until September 16, 2025.",https://www.thebureauinvestigates.com/stories/2025-06-04/bat-hit-with-5m-lawsuit-over-carbon-neutral-vape | https://www.classaction.org/news/vuse-class-action-lawsuit-challenges-carbon-neutrality-claims-for-vape-products | https://topclassactions.com/lawsuit-settlements/lawsuit-news/vuse-vapes-draw-class-action-lawsuit-over-false-marketing-claims/ | https://unicourt.com/courthouse/california-northern-district-88 | https://tobaccoinsider.com/tobacco-lawsuits-usa/,TRUE,high,
Florida Crystals Sugar Products,https://truthinadvertising.org/class-action/florida-crystals-sugar-products/,March 2025/class action,"Help save the planet, fight climate change, and build healthy soils",2025,packaging,Farming to Help Save the Planet; our farms help fight climate change & build healthy soil,other,climate change,"Law Office of Benjamin J. Fuchs; Nidel & Nace, P.L.L.C.",multiple entities,food & beverage,front of pack,Regenerative Organic Certified,California UCL,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Northern District of California",motion_to_dismiss_granted,,08/12/2025,,"The Northern District of California granted in part Florida Crystals Corporation's motion to dismiss, but gave the plaintiff until January 9, 2026 to submit a revised class-action complaint","Merrell v. Florida Crystals Corporation, et al.",U.S. District Court for the Northern District of California,5:25-cv-02264-SVK,"Filed: March 5, 2025; Defendants served: March 18, 2025; Motion to dismiss ruling: December 8, 2025; Deadline for amended complaint: January 9, 2026","The greenwashing class action lawsuit filed against Florida Crystals and parent company Fanjul Corporation alleges deceptive environmental marketing claims while the company continues harmful pre-harvest burning practices. The court partially granted defendants' motion to dismiss in December 2025 but allowed the plaintiff to file an amended complaint by January 9, 2026, giving the case a second chance.",https://www.classaction.org/news/florida-crystals-class-action-lawsuit-filed-over-alleged-greenwashing-of-sugar-products | https://clarksonlawfirm.com/major-lawsuit-filed-against-one-of-floridas-largest-sugar-producers-for-greenwashing-and-harmful-farming-practices/ | https://climatecasechart.com/case/merrell-v-florida-crystals-corp/ | https://www.eenews.net/articles/judge-wont-toss-greenwashing-case-against-florida-sugar-giant/ | https://natlawreview.com/article/paint-town-green-rise-greenwashing-litigation-0 | https://www.courtlistener.com/docket/69707005/merrell-v-florida-crystals-corporation/ | https://www.bilkuj.com/archives/28101 | https://www.law360.co.uk/classaction/articles/2306994/calif-woman-accuses-fla-sugar-co-of-greenwashing,TRUE,high,
Wincup,https://truthinadvertising.org/class-action/wincup-cups-bowls-and-lids/,March 2025/class action,Recyclable,2025,packaging,contents recyclable; recyclable,recyclable,expanded polystyrene (EPS) foam,Sullivan & Yaeckel Law Group APC,corporation,packaging,product packaging,none,California FAL; California UCL,injunction; restitution; corrective advertising; attorney fees,"Superior Court of California, County of San Diego",motion_to_dismiss_filed,,13/06/2025,,Federal judge remanded the case back to San Diego Superior Court on jurisdictional grounds after WinCup attempted to remove it to federal court. WinCup also filed a motion to dismiss for failure to state a claim pursuant to Rule 12(b)(6) in May 2025.,"Heavey v. WinCup, Inc.","San Diego Superior Court (originally filed), temporarily removed to U.S. District Court for Southern District of California",3:25-cv-01099-GPC-KSC (federal); state case number not specified,"Filed: March 21, 2025 (state court), Removed to federal court: April 30, 2025, Remanded to state court: June 13, 2025, Motion to dismiss filed: May 30, 2025","Jeffrey Heavey, a San Diego chef, filed a class action lawsuit against WinCup alleging the company falsely advertises expanded polystyrene foam products as 'recyclable' despite a California ban on such products and their lack of actual recyclability. WinCup attempted to remove the case to federal court but it was remanded back to state court on jurisdictional grounds, and WinCup has filed a motion to dismiss.",https://truthinadvertising.org/class-action/wincup-cups-bowls-and-lids/ | https://www.courtlistener.com/docket/70005363/heavey-v-does-1-100/ | https://dockets.justia.com/docket/california/casdce/3:2025cv01099/813173 | https://www.leagle.com/decision/infdco20250617f22 | https://www.casemine.com/judgement/us/684e38f64fd8ac5bd8c3a0d3 | https://www.pacermonitor.com/public/filings/DDX4MT5Q/Heavey_v_Does_1-100_et_al__casdce-25-01099__0007.0.pdf | https://www.yahoo.com/news/amid-state-inaction-california-chef-100000152.html,TRUE,high,
Saatva,https://truthinadvertising.org/class-action/saatva-mattresses-furniture-bedding-and-bath-products/,March 2025/class action,Eco-friendly,2025,other channel,"nontoxic; safe; natural; eco-friendly; chemical-free; All of our mattresses are made with materials that are eco-friendly and nontoxic, meaning they're good for the planet and your health; Eco-friendly materials that are better for you and the planet; only use eco-friendly foams that substitute traditional petroleum-based chemicals with 30% naturally-derived soybean & corn oils; guaranteed to be free of toxic chemicals; We do not use any harmful chemicals or sprays in any of our mattresses; sustainability is at the heart of what Saatva does; sleep products that are good for the environment (and your health) by using eco-friendly, nontoxic materials and maintaining sustainable manufacturing processes",other,eco-friendly and nontoxic materials,Richman Law & Policy,LLC,household goods,website; blog; hard copy brochure,CertiPUR-US; GREENGUARD Gold; eco-INSTITUT; GOTS; OEKO-TEX Standard 100; GOLS,multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Eastern District of New York",pending,,,,,"Williams, et al. v. Whitestone Home Furnishings, LLC d/b/a Saatva",U.S. District Court for the Eastern District of New York,1:25-cv-01527,"Filed: March 19, 2025","This class action lawsuit filed in March 2025 accuses Saatva of falsely marketing mattresses as eco-friendly, natural, and chemical-free when they contain materials like polyester fiber, viscoelastic polyurethane, and rayon fiber that pose health and environmental concerns. The case was filed by Melissa Williams and Helen Colby and is in the early stages with no motions or rulings found yet.",https://topclassactions.com/lawsuit-settlements/lawsuit-news/saatva-mattresses-arent-eco-friendly-as-advertised-class-action-claims/ | https://www.law360.com/articles/2313524/saatva-misled-consumers-about-mattress-material-suit-says | https://dockets.justia.com/docket/new-york/nyedce/1:2025cv01527/528877 | https://www.alston.com/en/resources/esg-litigation-enforcement-tracking/litigation-tracking,TRUE,medium,
Amazon Basics Paper Products,https://truthinadvertising.org/class-action/amazon-basics-paper-products/,March 2025/class action,Sustainable and mitigates carbon emissions,2025,other channel,Sustainability Leaf; Climate Pledge Friendly; FSC logos,ingredients sourcing,wood,Hagens Berman Sobol Shapiro LLP,corporation,household goods,website homepage,FSC,multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Western District of Washington",pending,,,,,Ramos et al v. Amazon.com Inc.,U.S. District Court for the Western District of Washington,2:25-cv-00465,"Filed: March 14, 2025; Last docket retrieval: August 28, 2025","This class action lawsuit was filed on March 14, 2025, by Hagens Berman Sobol Shapiro LLP alleging that Amazon misleads consumers by marketing Amazon Basics paper products as sustainable while sourcing from suppliers that contribute to Canadian boreal forest deforestation. The case remains active with no major rulings reported as of the most recent available information from August 2025.",https://www.kelleydrye.com/viewpoints/blogs/ad-law-access/amazon-hit-with-greenwashing-lawsuit | https://www.hbsslaw.com/press/amazon-basics-paper-products-eco-friendly-advertising/amazon-faces-consumer-lawsuit-alleging-deforestation-behind-amazon-basics-paper-products-and-greenwashing-cover-up | https://www.businesswire.com/news/home/20250314136610/en/Hagens-Berman-Amazon-Faces-Consumer-Lawsuit-Alleging-Deforestation-Behind-Amazon-Basics-Paper-Products-and-Greenwashing-Cover-up | https://www.classaction.org/news/class-action-lawsuit-challenges-environmental-claims-for-amazon-basics-paper-products | https://www.hbsslaw.com/cases/amazon-basics-paper-products-eco-friendly-advertising | https://topclassactions.com/lawsuit-settlements/lawsuit-news/class-action-accuses-amazon-of-greenwashing-its-paper-products/ | https://www.packaginginsights.com/news/amazon-basics-lawsuit-deforestation-paper-products.html | https://dockets.justia.com/docket/washington/wawdce/2:2025cv00465/345927 | https://www.law360.com/cases/67d496d58668168a23aacaef,TRUE,medium,
